District,Year,Yield,Harvested_Extent,Sown_Extent,Production,Season
ANURADHAPURA,1983/1984,3144,49792,55583,126.1,Maha
ANURADHAPURA,1985,3756,9765,9847,29.5,Yala
ANURADHAPURA,1984/1985,3972,43836,44332,140.2,Maha
ANURADHAPURA,1986,3555,12784,13865,36.6,Yala
ANURADHAPURA,1985/1986,4567,43228,43938,159,Maha
ANURADHAPURA,1987,2912,3166,3751,7.4,Yala
ANURADHAPURA,1986/1987,3867,23495,28982,73.2,Maha
ANURADHAPURA,1988,3459,6589,7036,18.4,Yala
ANURADHAPURA,1987/1988,3544,39779,45118,113.5,Maha
ANURADHAPURA,1989,2594,1465,1465,3.1,Yala
ANURADHAPURA,1988/1989,3694,4934,6634,14.7,Maha
ANURADHAPURA,1990,3332,13720,14722,36.8,Yala
ANURADHAPURA,1989/1990,3824,28664,29747,88.3,Maha
ANURADHAPURA,1991,3384,8314,8451,22.7,Yala
ANURADHAPURA,1990/1991,4096,29864,31065,98,Maha
ANURADHAPURA,1992,3126,6885,7483,17.3,Yala
ANURADHAPURA,1991/1992,3594,42558,45509,123.2,Maha
ANURADHAPURA,1993,3123,6944,7150,17.5,Yala
ANURADHAPURA,1992/1993,3710,41138,41978,122.9,Maha
ANURADHAPURA,1994,3203,24929,25222,64.3,Yala
ANURADHAPURA,1993/1994,3837,60352,61268,186.5,Maha
ANURADHAPURA,1995,3258,18363,19028,48.2,Yala
ANURADHAPURA,1994/1995,4018,58945,59293,190.8,Maha
ANURADHAPURA,1996,3828,4342,4360,13.4,Yala
ANURADHAPURA,1995/1996,3700,24999,32638,74.5,Maha
ANURADHAPURA,1997,3455,4074,4244,11.3,Yala
ANURADHAPURA,1996/1997,3989,15404,15731,49.5,Maha
ANURADHAPURA,1998,3870,13781,14139,42.9,Yala
ANURADHAPURA,1997/1998,4264,66963,68330,230,Maha
ANURADHAPURA,1999,4126,18764,19470,62.4,Yala
ANURADHAPURA,1998/1999,4294,52899,53027,183,Maha
ANURADHAPURA,2000,4248,19827,21213,68,Yala
ANURADHAPURA,1999/2000,4400,54281,56543,192,Maha
ANURADHAPURA,2001,4409,17475,17507,62,Yala
ANURADHAPURA,2000/2001,4475,40595,40799,146,Maha
ANURADHAPURA,2002,4190,11730,12347,40,Yala
ANURADHAPURA,2001/2002,4323,47065,47190,164,Maha
ANURADHAPURA,2003,3891,21684,23570,67.8,Yala
ANURADHAPURA,2002/2003,4341,62753,66055,219,Maha
ANURADHAPURA,2004,4117,2996,3087,9.9,Yala
ANURADHAPURA,2003/2004,4524,27985,39098,101.8,Maha
ANURADHAPURA,2005,4228,24261,24294,82.5,Yala
ANURADHAPURA,2004/2005,4549,61011,61153,223.2,Maha
ANURADHAPURA,2006,4560,21072,21201,77.3,Yala
ANURADHAPURA,2005/2006,4520,61705,61782,224.3,Maha
ANURADHAPURA,2007,4804,14623,14635,56.5,Yala
ANURADHAPURA,2006/2007,4726,57490,57562,218.5,Maha
ANURADHAPURA,2008,4396,48235,49133,170.5,Yala
ANURADHAPURA,2007/2008,4311,71520,72717,248,Maha
ANURADHAPURA,2009,4426,17781,18226,63.3,Yala
ANURADHAPURA,2008/2009,4633,79159,80724,294.9,Maha
ANURADHAPURA,2010,4887,22808,22887,89.6,Yala
ANURADHAPURA,2009/2010,4924,81063,81463,320.9,Maha
ANURADHAPURA,2011,4775,53943,54471,207.1,Yala
ANURADHAPURA,2010/2011,4463,105587,113113,378.9,Maha
ANURADHAPURA,2012,4049,22100,26568,72,Yala
ANURADHAPURA,2011/2012,4982,88865,89253,356,Maha
ANURADHAPURA,2013,4284,46850,46888,161.4,Yala
ANURADHAPURA,2012/2013,4467,95292,100598,342.3,Maha
ANURADHAPURA,2014,4461,16174,17542,58,Yala
ANURADHAPURA,2013/2014,3898,39648,52789,124.3,Maha
ANURADHAPURA,2015,4612,50102,50398,185.8,Yala
ANURADHAPURA,2014/2015,4802,91667,99814,353.9,Maha
ANURADHAPURA,2016,4295,38223,38701,132,Yala
ANURADHAPURA,2015/2016,4748,95865,96254,365.99,Maha
ANURADHAPURA,2017,3909,8272,8525,26,Yala
ANURADHAPURA,2016/2017,4608,19736,37853,73.13,Maha
ANURADHAPURA,2018,5262,20250,21241,85.69,Yala
ANURADHAPURA,2017/2018,4414,47701,59558,169.32,Maha
ANURADHAPURA,2019,5119,32091,33412,132.1,Yala
ANURADHAPURA,2018/2019,5414,109254,109813,475.64,Maha
ANURADHAPURA,2020,4936,39258,39334,155.81,Yala
ANURADHAPURA,2019/2020,5574,118328,118902,530.36,Maha
ANURADHAPURA,2021,4691,62017,62104,233.95,Yala
ANURADHAPURA,2022,3248,59832,59918,156.28,Yala
ANURADHAPURA,2021/2022,2873,116565,116969,260.45,Maha
ANURADHAPURA,2023,4302,64852,65524,224.32,Yala
ANURADHAPURA,2022/2023,3849,117357,118818,363.24,Maha
ANURADHAPURA,2024,4863,61660,61699,241.1,Yala
ANURADHAPURA,2023/2024,4637,125271,125501,467.08,Maha
BADULLA,1979,2633,4571,4642,10.2,Yala
BADULLA,1978/1979,3091,16100,16337,27.5,Maha
BADULLA,1979/1980,3240,16032,16297,30.1,Maha
BADULLA,1981,2146,4852,4930,8.9,Yala
BADULLA,1980/1981,3157,16029,16397,12.4,Maha
BADULLA,1982,3297,4073,4369,11.4,Yala
BADULLA,1981/1982,3051,12586,14429,30.9,Maha
BADULLA,1983,3709,6435,6471,20.3,Yala
BADULLA,1982/1983,3782,17297,18469,33.8,Maha
BADULLA,1984,3303,10162,10370,28.6,Yala
BADULLA,1983/1984,2973,18602,19219,47.1,Maha
BADULLA,1985,3511,9738,9762,29.1,Yala
BADULLA,1984/1985,3719,19286,19406,61.4,Maha
BADULLA,1986,3761,7574,7633,24.2,Yala
BADULLA,1985/1986,3878,19710,19772,65.1,Maha
BADULLA,1987,3582,10449,10623,31.9,Yala
BADULLA,1986/1987,4533,19820,19880,76.5,Maha
BADULLA,1988,3911,11154,11199,37.1,Yala
BADULLA,1987/1988,4022,18790,19605,64.3,Maha
BADULLA,1989,3939,10630,10698,35.7,Yala
BADULLA,1988/1989,3926,18388,19220,61.5,Maha
BADULLA,1990,3913,10321,10383,34.4,Yala
BADULLA,1989/1990,3784,19972,20058,64.3,Maha
BADULLA,1991,3600,10069,10163,30.9,Yala
BADULLA,1990/1991,3999,20157,20243,68.6,Maha
BADULLA,1992,3598,9300,9381,28.5,Yala
BADULLA,1991/1992,3665,19024,20286,59.4,Maha
BADULLA,1993,3780,10135,10241,32.6,Yala
BADULLA,1992/1993,3997,19769,20091,67.3,Maha
BADULLA,1994,3269,10553,10592,29.4,Yala
BADULLA,1993/1994,4034,20317,20340,69.8,Maha
BADULLA,1995,3628,10467,10645,32.3,Yala
BADULLA,1994/1995,3602,19849,20114,60.9,Maha
BADULLA,1996,3055,10066,10271,26.2,Yala
BADULLA,1995/1996,3393,19565,19838,56.5,Maha
BADULLA,1997,3321,9368,9560,26.5,Yala
BADULLA,1996/1997,3649,18606,18986,57.8,Maha
BADULLA,1998,4036,10737,11055,36.9,Yala
BADULLA,1997/1998,2867,21770,21914,53.1,Maha
BADULLA,1999,3707,9471,9820,29.9,Yala
BADULLA,1998/1999,3710,21177,21201,66.9,Maha
BADULLA,2000,4571,10258,10978,39.9,Yala
BADULLA,1999/2000,4081,20870,21293,72.5,Maha
BADULLA,2001,4629,10355,10432,40.8,Yala
BADULLA,2000/2001,4334,21498,21605,79.3,Maha
BADULLA,2002,4122,9807,10324,34.4,Yala
BADULLA,2001/2002,4257,20573,20993,74.6,Maha
BADULLA,2003,4256,11020,11979,39.1,Yala
BADULLA,2002/2003,3772,21251,22369,68.2,Maha
BADULLA,2004,4619,10643,10643,41.8,Yala
BADULLA,2003/2004,4326,21007,21011,77.2,Maha
BADULLA,2005,4251,11394,11394,41.2,Yala
BADULLA,2004/2005,4264,22112,22112,80.1,Maha
BADULLA,2006,4388,11298,11337,42.1,Yala
BADULLA,2005/2006,4278,22156,22162,80.6,Maha
BADULLA,2007,4639,10705,10705,42.2,Yala
BADULLA,2006/2007,4434,22260,22266,83.9,Maha
BADULLA,2008,4605,12744,12746,49.9,Yala
BADULLA,2007/2008,4094,25288,25331,88,Maha
BADULLA,2009,4673,7973,8168,31.7,Yala
BADULLA,2010,4480,12665,12665,48.2,Yala
BADULLA,2009/2010,4324,26988,27023,10.8,Maha
BADULLA,2011,4395,13149,13179,49.1,Yala
BADULLA,2010/2011,3324,27175,27733,15.7,Maha
BADULLA,2012,4208,11490,11676,41.1,Yala
BADULLA,2011/2012,4514,27221,27552,27.5,Maha
BADULLA,2013,4443,13485,13485,50.9,Yala
BADULLA,2012/2013,4869,29255,29262,24.6,Maha
BADULLA,2014,4751,12731,12843,51.4,Yala
BADULLA,2013/2014,4872,24742,27637,15.4,Maha
BADULLA,2015,4459,13074,13074,49.5,Yala
BADULLA,2014/2015,4761,27046,27057,45.7,Maha
BADULLA,2016,4415,12679,12679,47.58,Yala
BADULLA,2015/2016,4303,27289,27289,45.85,Maha
BADULLA,2017,4434,8661,8668,32.65,Yala
BADULLA,2016/2017,4401,18009,19793,16.09,Maha
BADULLA,2018,4673,10799,10810,42.89,Yala
BADULLA,2017/2018,4340,19514,20252,55.01,Maha
BADULLA,2019,5120,10988,11270,47.82,Yala
BADULLA,2018/2019,4708,25615,25670,50.91,Maha
BADULLA,2020,4973,11639,11663,49.2,Yala
